,,,,,,,,,,,
,,,Question_ID,Domain,Difficulty,Question,Option_A,Option_B,Option_C,Option_D,Correct_Option
,,,1,Memory,Easy,"Remember these words: Apple, Chair, River. Which one was shown?",Apple,Car,Book,Tree,A
,,,2,Memory,Medium,Which sequence did you see earlier: 3-7-2?,3-7-2002,2-7-2003,7-3-2002,3-2-2007,A
,,,3,Memory,Hard,"After some questions, which word was mentioned earlier?",Table,River,Phone,Glass,B
,,,4,Attention,Easy,"What comes next: 2, 4, 6, ?",7,8,9,10,B
,,,5,Attention,Medium,Find the odd one out,Circle,Square,Triangle,Blue,D
,,,6,Attention,Hard,Count backward from 100 by 7. What comes after 93?,86,87,85,88,A
,,,7,Executive Function,Easy,"If today is Monday, tomorrow will be?",Sunday,Tuesday,Friday,Saturday,B
,,,8,Executive Function,Medium,"If you rearrange STOP, you get?",POST,TOPS,POTS,All of these,D
,,,9,Executive Function,Hard,"If today is Wednesday, what day will it be after 9 days?",Friday,Saturday,Sunday,Monday,B
,,,10,Orientation,Easy,Which month comes after March?,February,April,May,June,B
,,,11,Orientation,Medium,What season usually comes after summer?,Winter,Spring,Autumn,Rainy,C
,,,12,Orientation,Hard,How many months are there in a year?,10,11,12,13,C
,,,13,Memory,Easy,"Remember these words: Apple, Chair, River. Which one was shown?",Apple,Car,Book,Tree,A
,,,14,Memory,Medium,Which sequence did you see earlier: 3-7-2?,3-7-2002,2-7-2003,7-3-2002,3-2-2007,A
,,,15,Memory,Hard,"After some questions, which word was mentioned earlier?",Table,River,Phone,Glass,B
,,,16,Attention,Easy,"What comes next: 2, 4, 6, ?",7,8,9,10,B
,,,17,Attention,Medium,Find the odd one out,Circle,Square,Triangle,Blue,D
,,,18,Attention,Hard,Count backward from 100 by 7. What comes after 93?,86,87,85,88,A
,,,19,Executive Function,Easy,"If today is Monday, tomorrow will be?",Sunday,Tuesday,Friday,Saturday,B
,,,20,Executive Function,Medium,"If you rearrange STOP, you get?",POST,TOPS,POTS,All of these,D
,,,21,Executive Function,Hard,"If today is Wednesday, what day will it be after 9 days?",Friday,Saturday,Sunday,Monday,B
,,,22,Orientation,Easy,Which month comes after March?,February,April,May,June,B
,,,23,Orientation,Medium,What season usually comes after summer?,Winter,Spring,Autumn,Rainy,C
,,,24,Orientation,Hard,How many months are there in a year?,10,11,12,13,C
,,,25,Memory,Easy,"Remember these words: Apple, Chair, River. Which one was shown?",Apple,Car,Book,Tree,A
,,,26,Memory,Medium,Which sequence did you see earlier: 3-7-2?,3-7-2002,2-7-2003,7-3-2002,3-2-2007,A
,,,27,Memory,Hard,"After some questions, which word was mentioned earlier?",Table,River,Phone,Glass,B
,,,28,Attention,Easy,"What comes next: 2, 4, 6, ?",7,8,9,10,B
,,,29,Attention,Medium,Find the odd one out,Circle,Square,Triangle,Blue,D
,,,30,Attention,Hard,Count backward from 100 by 7. What comes after 93?,86,87,85,88,A
,,,31,Executive Function,Easy,"If today is Monday, tomorrow will be?",Sunday,Tuesday,Friday,Saturday,B
,,,32,Executive Function,Medium,"If you rearrange STOP, you get?",POST,TOPS,POTS,All of these,D
,,,33,Executive Function,Hard,"If today is Wednesday, what day will it be after 9 days?",Friday,Saturday,Sunday,Monday,B
,,,34,Orientation,Easy,Which month comes after March?,February,April,May,June,B
,,,35,Orientation,Medium,What season usually comes after summer?,Winter,Spring,Autumn,Rainy,C
